time_mult,mem_div,n_through,e_through,time,batch_size
13876,1000,991.1428571428571,None,1.014,1
13978,1000,998.4285714285714,None,0.999,1
14079,1000,1005.6428571428571,None,1.017,1
14354,1000,1025.2857142857142,None,1.038,1
14402,1000,1028.7142857142858,None,1.024,1
15236,1000,952.25,None,1.021,1
15248,1000,953.0,None,0.998,1
15356,1000,959.75,None,1.042,1
15443,1000,965.1875,None,1.036,1
15445,1000,965.3125,None,1.027,1
15679,1000,922.2941176470588,None,1.073,1
15722,1000,924.8235294117648,None,1.005,1
15798,1000,929.2941176470588,None,1.018,1
15925,1000,936.7647058823529,None,1.005,1
16216,1000,953.8823529411765,None,1.034,1
16384,1000,963.7647058823529,None,1.033,1
16409,1000,965.2352941176471,None,1.009,1
16433,1000,966.6470588235294,None,1.068,1
16546,1000,973.2941176470588,None,1.018,1
16595,1000,976.1764705882352,None,1.069,1
16668,1000,980.4705882352941,None,1.043,1
16740,1000,984.7058823529412,None,1.021,1
16784,1000,987.2941176470588,None,1.038,1
17018,1000,1001.0588235294117,None,1.009,1
17032,1000,1001.8823529411765,None,0.998,1
17172,1000,1010.1176470588235,None,1.061,1
17239,1000,1014.0588235294117,None,1.021,1
17263,1000,1015.4705882352941,None,1.032,1
17372,1000,1021.8823529411765,None,1.036,1
17892,1000,1052.4705882352941,None,1.011,1
18543,1000,1090.764705882353,None,1.016,1
18722,1000,1101.2941176470588,None,1.015,1
19123,1000,1062.388888888889,None,1.01,1
19234,1000,1068.5555555555557,None,1.037,1
19452,1000,1080.6666666666667,None,1.039,1
20866,1000,1043.3,None,1.042,1
21024,1000,1051.2,None,1.016,1
21053,1000,1052.65,None,1.015,1
21348,1000,1067.4,None,1.009,1
22348,1000,1064.1904761904761,None,1.032,1
22567,1000,1074.6190476190477,None,1.03,1
22833,1000,1087.2857142857142,None,1.013,1
23014,1000,1095.904761904762,None,1.09,1
23704,1000,1128.7619047619048,None,1.04,1
24101,1000,1147.6666666666667,None,1.018,1
24121,1000,1148.6190476190477,None,1.033,1
24604,1000,1171.6190476190477,None,1.049,1
24661,1000,1174.3333333333333,None,1.043,1
25144,1000,1047.6666666666667,None,1.155,1
25700,1000,1070.8333333333333,None,1.071,1
25824,1000,1076.0,None,1.035,1
26147,1000,1089.4583333333333,None,1.071,1
26294,1000,1095.5833333333333,None,1.036,1
26689,1000,1112.0416666666667,None,1.061,1
26761,1000,1115.0416666666667,None,1.04,1
27228,1000,1134.5,None,1.116,1
27341,1000,1139.2083333333333,None,1.088,1
27363,1000,1140.125,None,1.054,1
27639,1000,1151.625,None,1.021,1
27937,1000,1164.0416666666667,None,1.026,1
28070,1000,1169.5833333333333,None,1.074,1
28114,1000,1171.4166666666667,None,1.035,1
28152,1000,1126.08,None,1.107,1
28750,1000,1150.0,None,1.139,1
29196,1000,1167.84,None,1.087,1
29283,1000,1171.32,None,1.079,1
29572,1000,1182.88,None,1.094,1
29720,1000,1188.8,None,1.11,1
31040,1000,1149.6296296296296,None,1.095,1
31235,1000,1156.851851851852,None,1.09,1
31411,1000,1121.8214285714287,None,1.093,1
31610,1000,1128.9285714285713,None,1.087,1
31644,1000,1130.142857142857,None,1.134,1
31683,1000,1131.5357142857142,None,1.079,1
31801,1000,1135.75,None,1.103,1
